VARIABLE_ORIG,VARIABLE,CATEGORY,TABLE,ABBREV,TYPE,DESCRIPTION,LEVEL_LABELS
CaseNum,B_CaseNum,Basic,Full,B,Int,Identifier,
ShooterLastName,B_ShooterLastName,Basic,Full,B,Chr,,
ShooterFirstName,B_ShooterFirstName,Basic,Full,B,Chr,,
FullDate,D_FullDate,Date,Full,D,Chr,,
FullDateformat,D_FullDateformat,Date,Full,D,Date,,
DayofWeek,D_DayofWeek,Date,Full,D,Factor,,
Day,D_Day,Date,Full,D,Factor,,
Month,D_Month,Date,Full,D,Factor,,
Year,D_Year,Date,Full,D,Int,,
StreetNumber,L_StreetNumber,Location,Full,L,Chr,,
StreetName,L_StreetName,Location,Full,L,Chr,,
City,L_City,Location,Full,L,Chr,,
State,L_State,Location,Full,L,Factor,Two-Letter State abbreviation,
County,L_County,Location,Full,L,Chr,,
ZipCode,L_ZipCode,Location,Full,L,Chr,,
Latitude,L_Latitude,Location,Full,L,dbl,For Geocoding,
Longitude,L_Longitude,Location,Full,L,dbl,For Geocoding,
StateCode,L_StateCode,Location,Full,L,Factor,Alphabetical,
Region,L_Region,Location,Full,L,Factor,,"""South"",""Midwest"",""Northeast"",""West"""
Urban_Suburban_Rural,L_Urban_Suburban_Rural,Location,Full,L,Factor,Based on population density and distance from a city center,"""Urban"",""Suburban"",""Rural"""
Metro_MicroStatisticalAreaType,L_Metro_MicroStatisticalAreaType,Location,Full,L,Factor,Based on US Census classification,
Location,L_Location,Location,Full,L,Factor,Where the shooting occurred,
InsiderorOutsider,L_InsiderorOutsider,Location,Full,L,Factor,Shooter had an existing relationship with the shooting site,
WorkplaceShooting,L_WorkplaceShooting,Location,Full,L,Factor,Shooter was a current or former employee,
MultipleLocations,L_MultipleLocations,Location,Full,L,Factor,Shots fired at more than one location,
OtherLocation,L_OtherLocation,Location,Full,L,Factor,Where the shooting occurred,
ArmedPersononScene,L_ArmedPersononScene,Location,Full,L,Factor,Individual with a firearm in the immediate area or in the building when the shooting starts,
SpecifyArmedPerson,L_SpecifyArmedPerson,Location,Full,L,Factor,,
NumberKilled,V_NumberKilled,Victims,Full,V,Int,,
NumberInjured,V_NumberInjured,Victims,Full,V,Int,,
FamilyMemberVictim,V_FamilyMemberVictim,Victims,Full,V,Factor,,
RomanticPartnerVictim,V_RomanticPartnerVictim,Victims,Full,V,Factor,,
KidnappingorHostageSituation,V_KidnappingorHostageSituation,Victims,Full,V,Factor,,
Age,OB_Age,Offender Background,Full,OB,Int,,
Gender,OB_Gender,Offender Background,Full,OB,Factor,,
Race,OB_Race,Offender Background,Full,OB,Factor,,
Height,OB_Height,Offender Background,Full,OB,Int,Height in inches,
Weight,OB_Weight,Offender Background,Full,OB,Int,Weight in lbs.,
Immigrant,OB_Immigrant,Offender Background,Full,OB,Factor,,
SexualOrientation,OB_SexualOrientation,Offender Background,Full,OB,Factor,,
Religion,OB_Religion,Offender Background,Full,OB,Factor,,
Education,OB_Education,Offender Background,Full,OB,Factor,,
